Review,Date,Stars
have problems almost ever time I use it...almost have to make font smaller to get it to work,2025-04-28,1
Please fix the mobile deposit feature or I WILL SWITCH BANKS.,2025-04-27,1
Trash! The app breaks down almost every day.,2025-04-27,1
Check deposit flow crashes out half way through. Biometrics are regularly unenrolled.,2025-04-27,1
Have to log in twice. First log in fails and says service is unavailable. Very annoying.,2025-04-27,1
I have never had this problem. The update has caused me great difficulty logging in. I have to log in at least twice to get on. Very inconvenient.,2025-04-27,1
After the update I'm having trouble signing in. I need to sign in TWICE! FIX IT!!!!!,2025-04-26,1
"Horrible! It was working well when it was first installed. But in the past couple of months, it's either been out of service or it will not open at all. When I called Customer Service last month,they walked me through a few steps and then it was fine. Now, I'm having the same issue. I'm very disgusted that one of the largest banks in the country can't fix their mobile banking app! I either call to get my balance and recent transactions or access my account on my tablet or laptop.",2025-04-26,1
Good and BAD. Great when it works. It keep disabling biometrics. Just spins when attempting to login using a password. And when biometrics work I have to long in twice every time!!!,2025-04-26,1
"This app is terrible and keeps kicking me out of the biometrics and forcing me to restart all these prompts every time. If this company can't be bothered to fix the app, then I can't be bothered to use this bank for my investments. Nothing says we don't care like a buggy app they won't fix.",2025-04-26,1
"This app, along with the bank itself, is terrible. It constantly crashes and half the time on Fridays direct deposit is unavailable, so your check doesn't get deposited until the next week. PNC sucks",2025-04-26,1
This app's services are NEVER available. I'm so tired of this.,2025-04-26,1
not connecting,2025-04-26,1
sucks,2025-04-25,1
closed all of my accounts with this bank and they still send statements as if they were still open. not sure what's going on but questioning the legitimacy of this bank..or professionalism.,2025-04-25,1
Crashes every single time I attempt a deposit,2025-04-25,1
unsafe was hacked 2 times,2025-04-25,1
always crashing.,2025-04-25,1
The app crashes every single morning. Get better servers to support all the morning traffic.,2025-04-25,1
Keeps signing me out as soon as I sign in and then again when I'm in the middle of doing something,2025-04-25,1
possibly the worst bank to work with,2025-04-25,1
Hate it that it says service is unavailable late at night or early mornings. Those are the times I have time to use it.,2025-04-25,1
this app is too complicated for a person that's technology illiterate. the registration for my child was most difficult to achieve without the stress.,2025-04-25,1
Constant issues,2025-04-24,1
"Drains my battery when not using it (probably for tracking purposes)! Like it's the #1 app using all my battery, and I don't even load it. Why? Because it doesn't even work on my phone after one of the recent updates (I tried reinstalling and deleting the cache). Just a blank screen. So I have a useless app eating up all my battery. Yeah, no thanks. Your bank is awesome, your app not so much. And stop spying on me.",2025-04-24,1
Not a friendly app,2025-04-24,1
"constantly crashing, logging me out, telling me credentials are incorrect, and the services like zelle are constantly unavailable",2025-04-24,1
